malicious,registry,id,duration,files_count,duration_per_file,name_exist,name_length,name_special_exist,name_special_count,name_special_count_ratio,version_exist,version_major,version_minor,version_patch,description_exist,description_length,description_special_exist,description_special_count,description_special_count_ratio,parties_count,parties_name_exist,parties_name_exist_ratio,parties_name_length_max,parties_name_length_avg,parties_name_length_min,parties_role_author_exist,parties_role_unique_count,parties_email_length_max,parties_email_length_avg,parties_email_length_min,parties_url_length_max,parties_url_length_avg,parties_url_length_min,declared_holder_exist,declared_holder_length,declared_holder_special_exist,declared_holder_special_count,declared_holder_special_count_ratio,other_holders_exist,other_holders_count,other_holders_length_max,other_holders_length_avg,other_holders_length_min,other_holders_nullcount,other_holders_nullcount_ratio,declared_license_expression_exist,declared_license_expression_length,declared_license_match,declared_license_expression_unknown_exist,declared_license_expression_split_exist,declared_license_expression_split_count,declared_license_expression_split_length_avg,declared_license_expression_split_mapped_mit_exist,declared_license_expression_split_mapped_apache_exist,declared_license_expression_split_mapped_isc_exist,declared_license_expression_split_mapped_bsd_exist,other_license_expressions_exist,other_license_expressions_count,other_license_expressions_length_max,other_license_expressions_length_avg,other_license_expressions_length_min,other_license_expressions_unknown_exist,other_license_expressions_split_exist,other_license_expressions_split_count,other_license_expressions_split_length_avg,other_license_expressions_split_mapped_mit_exist,other_license_expressions_split_mapped_bsd_exist,other_license_expressions_split_mapped_apache_exist,other_license_expressions_split_mapped_gpl_exist,other_license_expressions_split_mapped_public-domain_exist,other_license_expressions_nullcount,other_license_expressions_nullcount_ratio,other_languages_exist,other_languages_count,other_languages_file_count,other_languages_file_count_ratio,keywords_exist,keywords_count,keywords_length_max,keywords_length_avg,keywords_length_min,homepage_url_exist,homepage_url_length,download_url_exist,download_url_length,bug_tracking_url_exist,bug_tracking_url_length,code_view_url_exist,code_view_url_length,vcs_url_exist,vcs_url_length,repository_homepage_url_exist,repository_homepage_url_length,repository_download_url_length,api_data_url_length,dependencies_count,dependencies_purl_exist,dependencies_purl_length_max,dependencies_purl_length_avg,dependencies_purl_length_min,dependencies_scope_unique_count,dependencies_extracted_requirement_exist,dependencies_extracted_requirement_count,dependencies_extracted_requirement_ratio,dependencies_is_runtime_exist,dependencies_is_runtime_count,dependencies_is_runtime_ratio,dependencies_is_optional_exist,dependencies_is_optional_count,dependencies_is_optional_ratio,dependencies_is_pinned_exist,dependencies_is_pinned_count,dependencies_is_pinned_ratio,dependencies_is_direct_exist,dependencies_is_direct_count,dependencies_is_direct_ratio
1,npm,ccfedrtest-poc##1.0.13.json,4.400482416152954,2,2.2002,1,14,1,1,0.0714,1,1,0,13,1,4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,1.0,1,3,1,0,1,1,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,1,0.5,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,1,69,0,0,0,0,0,0,1,44,69,48,2,1,22.0,17.5,13.0,1,1,2,1.0,1,2,1.0,0,0,0.0,0,0,0.0,1,2,1.0
1,npm,run-matlab-command##1.999.0.json,4.645723819732666,2,2.3229,1,18,1,2,0.1111,1,1,100,0,0,0,0,0,0.0,1,1,1.0,5.0,5.0,5.0,1,1,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,1.0,1,3,1,0,1,1,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,1,0.5,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,1,78,0,0,0,0,0,0,1,48,78,53,1,1,14.0,14.0,14.0,1,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,1.0
1,npm,testfilsess##1.0.29.json,6.438414335250855,16,0.4024,1,11,0,0,0.0,1,1,0,29,1,10,0,0,0.0,1,1,1.0,10.0,10.0,10.0,1,1,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,16,1.0,1,3,1,0,1,1,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,14,0.875,1,2,2,0.125,1,1,3.0,3.0,3.0,1,18,1,63,1,18,0,0,0,0,1,41,63,45,1,1,18.0,18.0,18.0,1,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,1.0
1,npm,waffles-next-doc-site##8.2.6.json,5.832755088806152,4,1.4582,1,21,1,3,0.1429,1,8,2,6,1,72,1,1,0.0139,1,1,1.0,9.0,9.0,9.0,1,1,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0.0,1,1,24.0,24.0,24.0,3,0.75,1,3,1,0,1,1,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,3,0.75,1,1,1,0.25,1,2,4.0,3.5,3.0,0,0,1,82,0,0,0,0,0,0,1,51,82,54,1,1,29.0,29.0,29.0,1,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,1.0
1,npm,xsolla-paystation-widget##4.0.0.json,4.704913854598999,2,2.3525,1,24,1,2,0.0833,1,4,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,1.0,1,3,1,0,1,1,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,1,0.5,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,1,88,0,0,0,0,0,0,1,54,88,57,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
0,npm,@aws-sdk@@client-docdb##3.743.0.json,95.23600029945374,287,0.3318,1,20,1,2,0.1,1,3,100,0,1,73,1,2,0.0274,1,1,1.0,27.0,27.0,27.0,1,1,4.0,4.0,4.0,34.0,34.0,34.0,1,34,1,3,0.0882,0,0,0.0,0.0,0.0,286,0.9965,1,10,1,0,1,1,10.0,0,1,0,0,1,1,12.0,12.0,12.0,0,1,1,12.0,0,0,0,1,0,283,0.9861,1,1,184,0.6411,0,0,0.0,0.0,0.0,1,67,1,75,0,0,0,0,1,44,1,51,75,58,47,1,49.0,32.2128,13.0,2,1,47,1.0,1,41,0.8723,1,6,0.1277,0,0,0.0,1,47,1.0
0,npm,@luminati-io@@uikit##6.3.35.json,433.2557289600372,10,43.3256,1,17,1,1,0.0588,1,6,3,35,1,26,1,1,0.0385,1,1,1.0,11.0,11.0,11.0,1,1,4.0,4.0,4.0,21.0,21.0,21.0,0,0,0,0,0.0,1,6,33.0,16.1667,10.0,5,0.5,1,3,1,0,1,1,3.0,0,0,1,0,1,2,7.0,5.0,3.0,0,1,2,5.0,1,1,0,0,0,4,0.4,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,1,64,0,0,0,0,0,0,1,48,64,54,71,1,50.0,23.6338,11.0,3,1,71,1.0,1,33,0.4648,1,38,0.5352,0,0,0.0,1,71,1.0
0,npm,css-value##0.0.1.json,4.928018569946289,7,0.704,1,9,1,1,0.1111,1,0,0,1,1,16,0,0,0.0,1,1,1.0,14.0,14.0,14.0,1,1,18.0,18.0,18.0,4.0,4.0,4.0,1,14,0,0,0.0,0,0,0.0,0.0,0.0,6,0.8571,1,3,1,0,1,1,3.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,6,0.8571,0,0,0,0.0,1,3,6.0,4.6667,3.0,0,0,1,58,0,0,0,0,1,42,1,39,58,42,2,1,14.0,13.5,13.0,1,1,2,1.0,0,0,0.0,1,2,1.0,0,0,0.0,1,2,1.0
0,npm,popsicle-transport-http##1.2.1.json,11.60424518585205,15,0.7736,1,23,1,2,0.087,1,1,2,1,1,60,0,0,0.0,1,1,1.0,12.0,12.0,12.0,1,1,21.0,21.0,21.0,21.0,21.0,21.0,1,12,0,0,0.0,0,0,0.0,0.0,0.0,14,0.9333,1,3,1,0,1,1,3.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,12,0.8,1,1,4,0.2667,1,5,9.0,6.8,4.0,1,51,1,86,1,58,0,0,1,53,1,53,86,56,8,1,32.0,20.125,14.0,3,1,8,1.0,1,2,0.25,1,6,0.75,0,0,0.0,1,8,1.0
0,npm,react-draggable##4.4.6.json,13.429352045059204,18,0.7461,1,15,1,1,0.0667,1,4,4,6,1,25,0,0,0.0,2,1,1.0,14.0,12.5,11.0,1,2,27.0,15.5,4.0,17.0,10.5,4.0,1,14,0,0,0.0,1,1,14.0,14.0,14.0,15,0.8333,1,3,1,0,1,1,3.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,12,0.6667,1,1,2,0.1111,1,3,15.0,9.6667,5.0,1,52,1,70,1,59,0,0,1,60,1,45,70,48,47,1,59.0,22.8085,12.0,4,1,47,1.0,1,5,0.1064,1,42,0.8936,1,1,0.0213,1,47,1.0
